userName,score,at,content
Muhammad Rosada,1,2024-06-17 03:50:48,Aplikasi bagus mudah di fahami tapi tolong supportkan ke android 12
Muhammad Farhan,1,2024-06-17 03:45:59,gk bisa akses file
Rizki Almubarok,2,2024-06-17 03:41:19,Knpa lah ini mau buka data aja akses di tolak Mulu saran dong knpa ni
Dimas Ae,5,2024-06-17 03:33:49,Kerja bagus
Kenzy Jovanda,2,2024-06-17 03:29:45,Jelek
Royyan Kaif,1,2024-06-17 03:26:28,asu gua mau pake sricpt GK bisa anj
Irman Irman,2,2024-06-17 02:57:12,Apk ini bagus
cincau cau,5,2024-06-17 02:00:32,alus anjayy tapi minimal ada geme HD nya lah maaf agref apk yah
Usman Aja,1,2024-06-16 23:48:32,ngeleg
Muhamad Ikbal,1,2024-06-16 22:20:09,Tolong kembalikan seperti dulu
Alfarizi Ramadan,1,2024-06-16 20:24:20,Zarchiver tololl
Asep Setiawan,1,2024-06-16 20:00:37,"Zarchiver gak tau mengapa sekarang aplikasi menjadi tidak jelas,,saya sudah mencoba semua tutorial dari YouTube sama aja tetap tidak bisa ,.tolong developer segera di perbaiki biar aplikasi ini kayak kemarin2..ğŸ™ğŸ™"
Tri Meiyanti,1,2024-06-16 18:04:28,Gak bisa di pake ke hp redmi a3 mau pasang rege aja susah
Qwerty Wartono,1,2024-06-16 17:58:45,Jelek mindahin filenya lama banget
Tioz Tea,1,2024-06-16 17:29:16,Gbisa akses obb dan dtaa
Rafi Dwi hariyanto,5,2024-06-16 16:11:40,Sangat seru
Rohadi Lengkong,5,2024-06-16 14:55:02,Bagus sangat membantu
Zaidin Dedek,1,2024-06-16 14:28:30,Tidak bisa di izin kan anying memang
Riki Purwandani,5,2024-06-16 14:07:58,Bagus sekali ğŸ˜ƒğŸ¤­ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«ğŸ¤«
Zanuri Zayn,5,2024-06-16 14:04:58,Apk yg wajib ada di hp gua
Rasyd Fahri Alfattah,1,2024-06-16 13:37:06,ANDROID 13 TIDAK BERJALAN LANCAR BINTANG 1 KECEWA BERAT
Triadi A,4,2024-06-16 13:12:39,Sangat baruna bagi saya
Diego Hernandez,3,2024-06-16 11:06:24,Ini sebenar nya zarchiver udah ada file data/OBB nya. Tapi masih ada masalah tidak bisa pindahin fordel atau file tiba tiba muncul operasi selesai dengan kesalahan Dan juga saat buat fordel/file tidak jadi tolong perbaiki lagi. Kalo gak perbaiki nanti aku laporin ke pemilik play store
Rohit Ja,5,2024-06-16 11:02:26,Bagun baget
Vaan,5,2024-06-16 10:29:10,Semuanya bisa diem gak sihh
JustChris 88,1,2024-06-16 10:18:59,Apk Ini Dulunya Bagus Tapi Sekarang Malah Kek Sampah
Muhsin Fauzi,5,2024-06-16 09:55:10,Bagus banget aplikasi ini aku kasih bintang 5 Karna sebagus ini
eka Prasetyo Fadli,1,2024-06-16 09:49:45,"Bug masa pas buka file aplikasi folder nya gada + eror + bug ,buka folder android aja di persulit"
Zidane Alfatih,2,2024-06-16 09:36:35,Sering ngebuk
Reihan Gg456,1,2024-06-16 09:36:30,Android 11 nggabisa buka folder data bggggğŸ™
Putri Safaatun,1,2024-06-16 09:06:34,bingung cara pakai nya
Vhalo Therapy pijat,5,2024-06-16 08:47:45,Yg tadi nya saya tidak bisa salin file sekarang bisa
bayu,5,2024-06-16 08:24:24,next update support android 11
Gutds Grigio,2,2024-06-16 08:17:43,GK ad pilihan Minecraft ny Jing di pilihanlihat
Mohamad Bagas,1,2024-06-16 08:13:56,Knp di android 14 di tolak
Suryanita Nita,4,2024-06-16 08:08:28,Kasalahan
Riski M,2,2024-06-16 08:07:23,Developer yang terhormat saya sangat tidak suka dengan suport Shizuku dan z archiver yang sekarang Karena saya tidak bisa menggunakan polder data dan obb selalu di akses di tolak ukur mohon di kembalikan z archiver yang seperti dulu semoga bisa di perbaiki lagi
AKU ADALAH HACKER,4,2024-06-16 07:32:20,ğŸ‘ğŸ‘ğŸ‘
muhammad khazinrifqi,1,2024-06-16 07:12:47,Klo bisa bintang 0 sih saya kasi bintang 0 soalnya udah ga bisa buat setting game lagiğŸ˜”ğŸ˜”
Juned Juned,5,2024-06-16 06:42:59,"Ak ngk bisa tolong di perbaiki y kak,banyak ngk ak tau"
Muhammad nur Septiansyah,2,2024-06-16 06:18:10,Gk bisa akses data aplikasiğŸ˜­ğŸ˜­ğŸ˜­
Rudy atna,3,2024-06-16 04:37:51,Ko ngga bisa dipake
Raden Taka,5,2024-06-16 04:35:36,Darel ktl
Wulan sari,5,2024-06-16 04:23:37,Bagus sekali apk zarchiver nyh Saya jdi senang cara pakai nyh gampang klik ekstrak disini Buat file yang mau di ekstrak pakai. Ajah file inih zarchiver .
Sri Wahyuni,1,2024-06-16 04:19:19,Apasih. Aplikasi Ngebug. Pas Aku Ngekreasi File. Malah. File Tidak Didukung. Apasih. Gajelas Banget
Samsu Hadis,1,2024-06-16 03:25:28,Filet ini. Sagat manfaat untuk hp
Nafis Apis,1,2024-06-16 02:41:11,":/ gimana cara perbaiki nya, kalian tau la pas usah update android 11"
Saya Juan,1,2024-06-16 01:59:22,apalah masuk apk malah keluar sendiri
Dimas Wahyu ilahi,5,2024-06-16 01:24:24,"Gw merasa hebat rek, setelah memakai apk ini"
Sauki,3,2024-06-16 00:39:58,Saya sangat kesusahan karena pas saya mau daftar ke aplikasi ini sangat susah sekali buat lah aplikasi ini menjadi gampang sekali ya saya memohon kan Berilah contoh yang benar semuanya sangat. Kesusahan seliiiiiiiiiiiiiiiiiiiii kumohon
Misbahul Nuraji,1,2024-06-16 00:30:12,kok eror si bikin gw emosi
Buku Tulis,4,2024-06-15 23:00:42,Kok akses di tolak itu gimana?
otobi chan,1,2024-06-15 20:46:11,"di update malah ngaco oi, pas buka file text mau ngetik ke arah tertentu ketikanya malah pindah ke atas dan ganggu banget, text yg harusnya rapih malah rusak gegara kecampur sama text baru yg berpindah secara acak, pas nyoba mau di hapus text barubya malah yg ke hapus text lainya gajelas banget, mending gausah update pea"
D e b b y A n d y y y,5,2024-06-15 20:08:35,Wow
Enok Enok mulyanah,5,2024-06-15 15:48:42,Bagus
Obret Jaya,1,2024-06-15 14:52:11,kenapa tidak di izinkan dari file
Putri Injani Mazegelenda,5,2024-06-15 14:49:46,sumpah sebenarnya nggak bisa akses data di android 13 btw sy baru updated ke android 14 nah sebelum itu g a bisa akses baru aja sy update aplikasi dan Ternyata bisa akses android data ğŸ˜± sumpah ini nyata hari baru update aku kaget banget sebelum itu nggak bisa apa lagi sebelum update sumpah aku gaa bohong cobain dah
à¹à¸Ÿà¸™à¸”à¸µà¹‰,4,2024-06-15 13:36:25,"Semenjak saya up ke andro 14 zarchiver selalu eror ya akses ditolak,Folder rusak dll.Semoga untuk andro 14 bisa kembali dengan baik"
Pradipa Riski,5,2024-06-15 13:12:20,Kenapa saya gak bisa pasang apa apa
Bayu Samudra,3,2024-06-15 12:48:05,Kenapa android 13 terus akses di tolak?
wafa fadilmaulana,1,2024-06-15 12:11:56,jelek
Riamsa Lumbanraja,5,2024-06-15 11:53:13,ok
samsu Ari,1,2024-06-15 09:29:22,"Ga jelas masa akses di tolak di semua apl data ga jelas gw pake di HP lain bagus bagus aja tapi pas pake HP ini akses di tolak di semua apl dari data android ga jelas dah ""woy fix woy"""
Jensomen Somen,1,2024-06-15 07:53:04,Saat aku download Ultraman fhiting evolusion 4. Gakbisa
Spenzen Arwyn Earlytan,1,2024-06-15 07:45:39,There are no items in the data .plss ğŸ™ fix it
ALIF DAIM,5,2024-06-15 07:38:12,Intinya yg ngeluh gk bisa akses folder atau apalah setelah update itu divice kalian yg gk kuat buka apk nya yg bermasalah
Muhammad Rifky,3,2024-06-15 07:32:40,Apalah mau ekstrak ke data aja akses tolak tolong dong bisa ekstrak file ke android 11 ke atas gua mau main gta yang mod
ADDRYA Firman,5,2024-06-15 06:46:20,Bagusss
Wu Xuanyi,1,2024-06-15 04:22:23,Gk jelas
Lilis Lilis Rahamayati,1,2024-06-15 02:05:34,Jelek Jir banyak bug mindahin file stuck 100% Terus padahal bikin Tab baru terus pindahin ke Tab barunya arsip rusak Mening File manager
ALWAN WIJAYA,1,2024-06-15 01:58:42,Zdevs kntl ğŸ—¿ knp harus pake Shizuku
Acip Sutrisno,1,2024-06-15 00:52:09,12 data ok poeut adalah
Gibran Gibran,5,2024-06-14 16:53:08,Aplikasinya Bagus
Hernando Djevon,1,2024-06-14 16:51:03,Apk ini jelek kenapa aku harus di tolak sih!!!
Iksan Kamil,1,2024-06-14 15:49:10,kenapa ga bisa di buka si folder andorind nyh menolak akses udah di perbaiki ga bisa
Mak Mun,1,2024-06-14 15:24:06,Zachiver nya bug masak pas masuk keluar lagi kaya four clous
kenzi aury,5,2024-06-14 15:21:51,Kenapa gk bisa ke folder data lagi????? Semoga next updatenya bisa masuk lagi
Diego Kankan,2,2024-06-14 13:35:46,Aku kasih bintang 2 karena tidak bisa pindahin file ke data dan juga tidak bisa bikin file dan juga zarchiver masih bermasalah. Jadi tolong perbaiki ini Agar bisa pindahin file ke data dan juga bisa bikin file
Wujud Judun,5,2024-06-14 13:08:53,Berguna
Jvano,1,2024-06-14 12:12:23,Di versi android 12 kga bisaa kenapa bang
Shanum Nabila,5,2024-06-14 12:10:33,zarchiver please fix the problem zarchiver access denied I want to install the script zarchiver please fix the problem access denied android 13
Haykal haikal,1,2024-06-14 09:47:14,App anjinggggg masa mau masang apk gak bisa gimaana ini Cara masang nya tolollllllll
Agus Sahidin,1,2024-06-14 09:15:05,Saya sering dapat bug dari zarchiver ini
Wahyu Aji,1,2024-06-14 09:11:29,Kecewa gua padahal dulu di android 12+ masi bisa buka folder data tapi sekarang udah nggak bisa dah harus pake aplikasi pihak ketiga tapi masih tetep nggak bisa
jesen haba,1,2024-06-14 08:49:11,Maaf sy sudah tidak bisa memakai aplikasi ini karena semakin update bukan semakin bagus tapi semakin sulit Sy ingin memakai shizuku tapi Sy takut hp sy akan terjadi masalah karena itulah Sekarang apk ini makin jelek Tolong di pertimbangkan kembali untuk apk ini Sy berharap apk ini kembali ke versi yg lama Yg gampang di gunakan
Tini Helmy,2,2024-06-14 08:47:11,Aplikasi bodoh di android 12+13 susah sekali
Asir Ahmad,1,2024-06-14 08:43:03,Jelek banget
Muhammad Adityawan,3,2024-06-14 07:49:42,Ko gini ya kalo gua masuk di folder data ko kosong sebelum ya ga ke gini apakah android 11 udah ga mendukung
Raidan Boy,1,2024-06-14 07:00:57,Hai saya membuka folder data&obb akses ditolak terus tolong perbaki
Zxzpelajar SD,1,2024-06-14 06:58:52,Aplikasi jelek ngerusakin HP folder udh di safe jadi hilang grÂ² aplikasi yang gak berguna ini
Muhhamad Faris,1,2024-06-14 06:02:08,Aplikasi jelek karena seluruh data ku aplikasi hilang
saflan gaming,1,2024-06-14 05:38:25,Di update kali ini zarchier sudah tidak bisa android 11 buat developer nya tolong di di buat seperti semula lagi
sabihishikmal,5,2024-06-14 04:43:29,bagus
M. Tristan,1,2024-06-14 04:08:55,"Dev, kenapa Sekarang tidak support Versi 12? , ketika saya ingin ekstrak Game favorit saya ke data tiba tiba Aksesnya ditolak. Saya ingin menggunakan aplikasi shizuku tetapi saya takut jika handphone saya Kena hack, tolong Dev Support Android 12."
Ganteng Supriadi,2,2024-06-14 04:04:07,Kenapa android ke atas gk bisa di gunakan di data atau obb malah akses di tolak gk kayak sebelum nya saya harap di perbaiki lagi klo udh di perbaiki saya tambah bintang 3
Nekopoi Peduli,5,2024-06-14 03:51:39,nice apk yg sangat bagus terus tingkatkan performa nya
Rubi Fff,1,2024-06-14 03:35:45,Jelek karena data tidak bisa digunakan
Arisfin Arifin,5,2024-06-13 23:16:01,Aku suka2
Sandi Pratomo,1,2024-06-13 22:55:16,"Versi terbaru enggak bisa akses folder Android >> Data, padahal sebelumnya bisa Jika masalah terpecahkan akan saya kasih ğŸŒŸ 5"
Erik Gunawan,3,2024-06-13 18:59:31,Ko gw data sama obb dan lain lain ilang semua ya
Fajar Mauludin,1,2024-06-13 15:23:38,gajelas masuk ke fell Mulu padahal cuma mau sekerip sekin ml doang
Arthuria Vendragon,5,2024-06-13 14:32:31,Ubah design
Angga Permana,1,2024-06-13 13:40:39,Tidak di dukung
Arul Arull,1,2024-06-13 13:24:33,Jangan update terus anjinggg
Pande Gerih,3,2024-06-13 13:24:18,"Tolong dong Android 12,13,14,di permudah membuka folder data nya"
The last Craft,3,2024-06-13 13:22:02,"aplikasi ketinggalan jaman, hp makin update aplikasinya tidak mau mengikuti sehingga banyak bug error terjadi"
Yadi Its 'me di,1,2024-06-13 13:15:11,Gw knpa ga bisa akses bjir lah apl ini gj
Nyanyang Mebeul,5,2024-06-13 12:28:19,Aplikasi ini sangat bagus
Efendi 099,2,2024-06-13 12:24:02,Pas mau nempelin ke folder data kok memiliki batasan akses android
Muhammad Aditya Gilang Pratama,1,2024-06-13 11:55:36,ga jelas Iydh pake shizuku tp akses data minecraft ditolak
Muh Alyf Al Hilal,1,2024-06-13 10:52:40,Tolol
Kai Haruka,1,2024-06-13 10:49:50,Apk nya tidak bisa untuk melihat file android data karna aksenya di tolak tolong di perbaikilah
â€“RifXyzanakbaik`,5,2024-06-13 10:16:00,mantapppppppppppp
Alvin Raska,1,2024-06-13 07:14:07,Apk anj dari tadi gua mau download sesuatu malah gak bisa apk kon***
Endang endang,1,2024-06-13 05:37:49,Saya tidak bisa menggunakan aplikasi odd
Askbhc,1,2024-06-13 05:02:40,i can not acces the data & obb file.
ian,5,2024-06-13 02:58:25,50% tidak bekerja dengan baik :)
Sekhu Fatahilah,5,2024-06-13 02:47:49,Bagus
Giovi Akram raiguna,1,2024-06-13 01:31:28,Aku di tolak
Andi Akrimuddin,5,2024-06-13 01:28:32,Siiip .ok.ok ok
Aldous ft Martis,1,2024-06-13 00:29:07,Apk makin ngaco
Gasan â€œgasanthariqâ€ Thariq,1,2024-06-13 00:16:37,Forsclose mulu
Muhamad alfiyan Ilham,4,2024-06-12 23:24:15,alus
Inayah Rani Tysmayer,3,2024-06-12 22:32:47,Susah di pake tapi apk nya bagus terimakasih sudah membuat apk ini ğŸ—¿
Rail Sapta,5,2024-06-12 22:22:02,Bagus
Ikyy Ikyy,5,2024-06-12 21:45:17,Bgus
Rafi Ganteng,1,2024-06-12 20:44:30,"APK NGENTOTTT, KALAU CUPU CUPU AJA ANJINK"
Mustafa Rafli,1,2024-06-12 18:56:40,kek mana app ini kop jelek ganti nama aja gak bisa lagi
Muhammad Arbi muzaqqi,5,2024-06-12 18:19:03,ğŸ¥µğŸ‘‰ğŸ‘ŒğŸ—¿
Zen Udin,1,2024-06-12 17:47:57,Kagak berguna
Akmaludin Fitra,5,2024-06-12 17:39:59,Good Job Brother ğŸ‡²ğŸ‡¨ğŸ¤
Manijah Manijah,1,2024-06-12 15:14:32,ini aku nggak tau ya hp ku yang gimana atau apa masak hp android 12 keatas nggak bisa pakkek akses ditolak mulu kocak dah perbaiki dong gitu doang susah
Mutiara Kasih,2,2024-06-12 13:36:55,Tetap aja udah pa shizu akses di tolak
Farel GILA,5,2024-06-12 13:11:13,Ku kira aku doang yang tidak bisa akses saran gua pakek apk sizuku
Alvaro Juno,1,2024-06-12 12:47:59,Sangat ribet pemakaiannya.Ketika ingin mendownload sesuatu pasti memiliki batasan android dan akses selalu ditolak
bi. aj,1,2024-06-12 11:30:54,Tolong di update lagi kalau bisa tanpa terhalang akses dan tanpa harus root root an segala atau pake pihak ke 3 seperti apk shizuku Kalau nanti bisa mengakses file atau memindahkan file semua aplikasi nanti aku tambahin lagi bintang nya.. Hadehh mengakses file Minecraft aja gak becus padahal cuman Minecraft
NON BIYORI,2,2024-06-12 10:53:40,Apalah zarachiver apa apa akses ditolak lebih ribet
Muhammad farid,1,2024-06-12 09:00:46,Zarchiver tidak bisa digunakan
YANZZ Ajeee,1,2024-06-12 08:29:40,mengapa akses di tolak?
BOBA WOLF,1,2024-06-12 07:24:28,Wkwkwk suka kluar sndri
Sahindra Harahap,1,2024-06-12 07:24:27,"Why can't this kasi application work on Android 14? I'm confused about using Shizuku. Do you think everyone can use Shizuku? Why do you think it's so difficult, damn developer?"
Jalaluddin,1,2024-06-12 06:59:39,Min update lah ini apk karena adnroid 14 gabisa di pakai
Petra Otemusu,5,2024-06-12 05:54:31,BUDI
emi yuliani,2,2024-06-12 05:40:06,Aplikasi ini lumayan bagus sih tapi banyak bug
Izan Alhamizan,3,2024-06-12 05:29:57,Ko apk nya gini sih tolong dianu in ya developer
Hery Kiswanto,5,2024-06-12 05:10:52,Sangat membantu cari file
Samwell Delivian,3,2024-06-12 04:15:26,Lumayan
Raya Habibie,1,2024-06-12 02:43:57,Tolong betulkanb bug android 11 saya tidak dapat membuka folder data
Dika Avengers,1,2024-06-12 01:12:07,Apk asu
Slice Of Life,5,2024-06-11 20:35:17,"untuk android 11 ke atas sekarang tidak bisa memindahkan atau menghapus data di folder ""Android"". Dibuat gini demi alasan keamanan, jadi bukan karena salah ZArchiver. kalau kalian ingin menghapus data di folder ""Android/Data"" atau ""Android/Obb"", kalian bisa memakai aplikasi shizuku untuk melewati batasan proteksi di folder ""Android""."
Hasim Mujadi,5,2024-06-11 19:37:14,Min kok tidak dapt di akses
Ã†,5,2024-06-11 18:00:16,pls update to android 14
Pahmi Hilmansyah,1,2024-06-11 17:09:34,"Makin kesini makin ribet ini apk, bukannye membaik malah memburuk, jadi rusak di zip sma ini apk!"
Nanang Bae,1,2024-06-11 16:16:07,Ga jelas apk nya
Mh Raja,5,2024-06-11 15:45:59,Yare yare
Ipangka Try Dwy,2,2024-06-11 15:31:26,Apa android 13 sudah tidak bisah meng akses faill
Shiroko,1,2024-06-11 15:16:32,DASAR GAK JELAS MENTANG MENTANG HP GW ANDROID 14 MASA AKSES DI TOLAK ANEHH DASAR (BASICALLY IT'S NOT CLEAR ABOUT GW ANDROID 14 PHONE ACCESS IS REJECTED WHICH IS WEIRD BASIC )
Alvin Rosyanto,5,2024-06-11 13:26:27,Bagus aplikasinya
Wingki Adryan,1,2024-06-11 13:07:06,Mohon diperbaiki agar suport Android 13
Sutenli Tenl,5,2024-06-11 11:59:58,Mantap bisa main bola sudah dengan aplikasi ini
Demon God's Lackey,1,2024-06-11 11:05:39,Saya mau masang file file nya gak ada kan gak jelas
Nisa Nisa,5,2024-06-11 10:35:15,Inpo mabar
Erin Erlina,3,2024-06-11 09:42:48,download data servernya lama banget kenapaya mana Kun dah sultan temenÂ²banyak cantik dan ga toxsix
Arip Imami,5,2024-06-11 09:31:44,Good banget
Asep Soeprianto,5,2024-06-11 09:29:13,Nice mod installer
ALAWAK PROJECT,3,2024-06-11 09:26:29,selalu ada masalah
Muhammad Fauzi,1,2024-06-11 06:51:56,Saya beri bintang 1 karena di android 11 ke atas folder data yg berada di dalam folder android tidak ada tolong untuk developer zarchiver di kembalikan seperti dahulu saat folder data masih ada ğŸ™ğŸ»ğŸ™ğŸ»
Risky Ekacahyono,1,2024-06-11 03:54:32,"Kembalikan zArchiver yg dulu za yg sekarang ribet, bikin males"
Amirah Salwa Shafiyah,1,2024-06-11 02:43:52,BUG TRS KELUAR TRS JUGA
Radit Bardi Pratama,1,2024-06-11 00:37:03,"Menurut saya lebih mudah ZArchiver yang dulu dari pada yang sekarang, yang sekarang susah di gunakan saya mau mengekstrak aja gak bisa padahal udh menggunakan Shizuka"
Junn PresetXML,1,2024-06-10 17:18:45,Sebentarnya apk nya membantu tpi knp saya mau download GTA kaga bisa di data nyağŸ¥² tolong dong min ZArchiver
Resya Wahyu ferianto,1,2024-06-10 16:39:26,apk tolol masa data gue gaada
Jeremy,1,2024-06-10 16:18:22,jelk bgt ni apk masa data nya ada bacan akses ditolak buat gw sterrsss aja ni anj apk bangsatt gjls anj betul
Niko Galang,2,2024-06-10 13:47:49,Aneh untuk android 13 gabisa apa apa
Dzikri AL FATIH,1,2024-06-10 13:19:10,Akses di tolak
Nur Hasanah,1,2024-06-10 12:15:23,Lama penghapusan filenya
BukanWibu,1,2024-06-10 12:10:08,Data gw kehapus pntk
Yusup Ncuy,3,2024-06-10 12:07:11,"Min tolong perbaiki , kenapa setelah upate , file obb nya tidak bisa di akses ( dibuka )"
SAI FUL,1,2024-06-10 11:53:59,Gimana sih cara main gta 5 fi siniğŸ˜ ğŸ˜ 
Habibi Ganteng,1,2024-06-10 09:28:56,Aplikasi tolool aku estrak file tiba2 keluar sendiri
Randi Ginting,5,2024-06-10 08:49:15,Bagus
Kiki Juniar,5,2024-06-10 08:05:56,APK BERGUNA UNTUK YAAA
rilexx yan,1,2024-06-10 07:42:20,"Tolollllll udh jangan pake aplikasi ni lg, knpa skrng bermasalah ya, pdhl dulu lncr2 aja"
Grisella Sitanggang,1,2024-06-10 07:34:24,Apk ini sagat lah tidak berguna
Nina. K Nina,1,2024-06-10 06:56:58,"Pas, saya download kok lama banget ya aku dah tunggu masih 0 kenapa ya tolong perbaiki"
"Yt panco ,",4,2024-06-10 06:56:41,Aplikasi nya mantap jiwa
Akbar Tzy,1,2024-06-10 06:17:07,Kenapa pas memasang map one block tidak bisa what
Eny Lay,5,2024-06-10 06:07:57,no reason for this ap
Muhammad Dedek,1,2024-06-10 05:07:03,Saya akan klarifikasi zarchiver tidak bisa karena ada tulisan akses di tolak
Mbaskara Azzaraka,1,2024-06-10 04:20:30,Masa gak bisa akses
ROJUL GG,5,2024-06-10 02:19:02,GG banget lohhhh
Syafiq Al-fattah,1,2024-06-10 02:17:24,Nama bapaku udin nama ibuku Leni
Risa Armalia,2,2024-06-10 02:02:05,Om telolet om
Abu Thanos,1,2024-06-10 02:01:17,wongireng
Wajib Wajib,1,2024-06-10 00:21:09,Dah gk guna anying
Debby Ceria,1,2024-06-09 22:34:50,"Jadi gak bisa obb , uninstall"
muhamad arjun,5,2024-06-09 22:02:26,Mantap
